Time(sec)	Current(A)
0.259646	0.239231
0.259943	0.24009
0.260239	0.240305
0.260536	0.23966
0.260832	0.242453
0.261128	0.239875
0.261425	0.239446
0.261721	0.238157
0.262018	0.239446
0.262314	0.242023
0.26261	0.241808
0.262907	0.24009
0.263203	0.24009
0.2635	0.242667
0.263796	0.23966
0.264092	0.240949
0.264389	0.240734
0.264685	0.242238
0.264982	0.240305
0.265278	0.243741
0.265574	0.242238
0.265871	0.24009
0.266167	0.23966
0.266464	0.241164
0.26676	0.243097
0.267056	0.24009
0.267353	0.241808
0.267649	0.240734
0.267946	0.242238
0.268242	0.241379
0.268538	0.241379
0.268835	0.237942
0.269131	0.240305
0.269428	0.240305
0.269724	0.23966
0.27002	0.242023
0.270317	0.24009
0.270613	0.23966
0.27091	0.24009
0.271206	0.238801
0.271502	0.239446
0.271799	0.242238
0.272095	0.241808
0.272392	0.241593
0.272688	0.239231
0.272984	0.24052
0.273281	0.242023
0.273577	0.240305
0.273874	0.24009
0.27417	0.240734
0.274466	0.237942
0.274763	0.239446
0.275059	0.240949
0.275356	0.240734
0.275652	0.244815
0.275948	0.243312
0.276245	0.241593
0.276541	0.24052
0.276838	0.24052
0.277134	0.237942
0.27743	0.239231
0.277727	0.24052
0.278023	0.24009
0.27832	0.239875
0.278616	0.239446
0.278912	0.242453
0.279209	0.240734
0.279505	0.240305
0.279802	0.239875
0.280098	0.241593
0.280394	0.241593
0.280691	0.23966
0.280987	0.242453
0.281284	0.239016
0.28158	0.24009
0.281876	0.240305
0.282173	0.240949
0.282469	0.23966
0.282766	0.240305
0.283062	0.243526
0.283358	0.242238
0.283655	0.241593
0.283951	0.23966
0.284248	0.240305
0.284544	0.24009
0.28484	0.240734
0.285137	0.241379
0.285433	0.244815
0.28573	0.242023
0.286026	0.243097
0.286322	0.240305
0.286619	0.239875
0.286915	0.239446
0.287212	0.238372
0.287508	0.240949
0.287804	0.238801
0.288101	0.240734
0.288397	0.241593
0.288694	0.240734
0.28899	0.242023
0.289286	0.242453
0.289583	0.240949
0.289879	0.23966
0.290176	0.242023
0.290472	0.240734
0.290768	0.240949
0.291065	0.24052
0.291361	0.241593
0.291658	0.240734
0.291954	0.241379
0.29225	0.241593
0.292547	0.240734
0.292843	0.23966
0.29314	0.243312
0.293436	0.239446
0.293732	0.242023
0.294029	0.242882
0.294325	0.240949
0.294622	0.239016
0.294918	0.243097
0.295214	0.240949
0.295511	0.239016
0.295807	0.242667
0.296104	0.238587
0.2964	0.240305
0.296696	0.24052
0.296993	0.240305
0.297289	0.239875
0.297586	0.239231
0.297882	0.241379
0.298178	0.24052
0.298475	0.241379
